Categoria,Id Elemento,Livello Base,Livello Superiore,Offset,Verifica,Stato
Muri,835294,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.44,Elemento vincolato correttamente tra livelli.,1
Muri,835559,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.44,Elemento vincolato correttamente tra livelli.,1
Muri,836073,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,836104,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,836204,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,836265,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,836340,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,836381,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,836422,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,836423,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,836424,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,836425,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,836444,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,836445,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,836446,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,836447,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,836928,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.83199999999999996,Elemento vincolato correttamente tra livelli.,1
Muri,837010,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
